branch,cutoff_date,area,region,first_date_disbursement,active_borrowers,active_agent,deliquency_rate,outstanding,weekly_disbursement,weekly_new_borrower_per_bp
POINTID_76,2018-10-13,AREAID_6,REGIONID_JT,2018-08-11,447,3,0%,1300,165,19
POINTID_42,2018-10-13,AREAID_27,REGION_JR1,2017-09-09,1109,5,1%-2.5%,2200,35,6
POINTID_15,2018-10-13,AREAID_8,REGIONID_JT,2016-11-12,1827,9,>10%,4200,70,0
POINTID_22,2018-10-13,AREAID_7,REGIONID_N,2017-04-29,1146,7,5%-10%,2150,65,7
POINTID_24,2018-10-13,AREAID_20,REGION_JH,2017-06-10,1081,5,2.5%-5%,1850,135,1
POINTID_60,2018-10-13,AREAID_25,REGIONID_JT,2018-04-28,632,3,0%,1600,90,11
POINTID_87,2018-10-13,AREAID_16,REGIONID_JT,2018-07-21,463,3,0%,1350,175,18
POINTID_20,2018-10-13,AREAID_7,REGIONID_N,2017-04-22,1744,6,>10%,3750,105,3
POINTID_36,2018-10-13,AREAID_1,REGION_JH,2017-08-12,1526,6,5%-10%,3100,200,5
POINTID_58,2018-10-13,AREAID_7,REGIONID_N,2018-01-13,932,5,1%-2.5%,1650,105,12
POINTID_61,2018-10-13,AREAID_25,REGIONID_JT,2018-07-21,339,3,0%,900,160,18
POINTID_107,2018-10-13,AREAID_22,REGIONID_JT,2018-08-25,131,2,0%,350,40,14
POINTID_113,2018-10-13,AREAID_3,REGION_JR2,2018-09-29,45,2,0%,100,105,18
POINTID_31,2018-10-13,AREAID_14,REGION_JR2,2017-07-29,2485,5,0%,4900,85,3
POINTID_8,2018-10-13,AREAID_30,REGIONID_JT,2016-09-03,2230,10,0%,4700,205,6
POINTID_30,2018-10-13,AREAID_14,REGION_JR2,2017-07-29,2655,7,0%,6050,225,1
POINTID_79,2018-10-13,AREAID_28,REGION_JR1,2018-08-04,252,2,0%,700,15,6
POINTID_105,2018-10-13,AREAID_12,REGION_JR1,2018-08-25,250,3,0%,700,70,24
